Estimated Overall Performance
-------------------------------
Samples/s:                                     5887.1
Compute Samples/s:                             5887.1
Transmission Samples/s:                        5897.5
Active PEs:                                    37%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
|                                                                                           |             |                   |                        |            |                     |
| attention12                                                                               |      5887.1 |            5887.1 |                12030.1 |       3417 |                 67% |
| attention12.compute_core                                                                  |      5887.1 |            5887.1 |                12030.1 |       3366 |                 67% |
| attention12.compute_core.attn_core_bwd                                                    |      5887.1 |            5887.1 |                12030.1 |       1024 |                100% |
| mlm_loss1.compute_core.nlin_exp                                                           |      5897.5 |            5897.5 |                17947.6 |       3667 |                100% |
| mlm_loss1                                                                                 |      5897.5 |            5897.5 |                 8710.4 |       9650 |                 84% |
| fc22.compute_core.fc                                                                      |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| fc22                                                                                      |      5897.5 |            5897.5 |                13228.3 |      26867 |                 96% |
| fc22.compute_core.fc.lib_fc                                                               |      5897.5 |            5897.5 |                13228.3 |      25472 |                100% |
| fc22.compute_core                                                                         |      5897.5 |            5897.5 |                13228.3 |      26400 |                 97% |
| mlm_loss1.compute_core                                                                    |      5897.5 |            5897.5 |                 8710.4 |       9264 |                 85% |
| mlm_loss1.compute_core.grad_ew                                                            |      5961.1 |            5961.1 |                11650.2 |        965 |                 99% |
| attention9.compute_core.attn_fc_out                                                       |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention9                                                                                |      5971.8 |            5971.8 |                15515.5 |       2128 |                 59% |
| attention6.compute_core.attn_fc_out.lib_fc                                                |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention9.compute_core.attn_fc_out.lib_fc                                                |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention6.compute_core                                                                   |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention6.compute_core.attn_fc_out                                                       |      5971.8 |            5971.8 |                16940.4 |        160 |                 99% |
| attention9.compute_core                                                                   |      5971.8 |            5971.8 |                15515.5 |       1976 |                 63% |
| attention6                                                                                |      5971.8 |            5971.8 |                15515.5 |       2128 |                 59% |
| attention9.compute_core.attn_core_bwd                                                     |      5992.3 |            5992.3 |                17115.0 |        400 |                 98% |
| attention6.compute_core.attn_core_bwd                                                     |      5992.3 |            5992.3 |                17115.0 |        400 |                 98% |
| fc7                                                                                       |      6004.2 |            6004.2 |                17027.2 |        880 |                 84% |
| fc6.compute_core                                                                          |      6004.2 |            6004.2 |                17027.2 |        810 |                 87% |
| fc7.compute_core.fc                                                                       |      6004.2 |            6004.2 |                17027.2 |        676 |                 98% |
| fc12                                                                                      |      6004.2 |            6004.2 |                17027.2 |        880 |                 82% |
| fc12.compute_core.fc.lib_fc                                                               |      6004.2 |            6004.2 |                17027.2 |        676 |                 98% |
| fc12.compute_core.fc                                                                      |      6004.2 |            6004.2 |                17027.2 |        676 |                 98% |
